Age_group,People_count_all,People_count_not_vaccinated,People_count_vaccinated,People_percent_vaccinated,People_percent_not_vaccinated
41-50,4051837,2387037,1664800,41.08753634462591,58.91246365537409
51-60,3750433,2210453,1539980,41.061392111257554,58.938607888742446
31-40,4159214,2451909,1707305,41.048741420854995,58.951258579145005
21-30,2764478,1636815,1127663,40.79117287241932,59.20882712758068
61-70,2983460,1778298,1205162,40.39477653462758,59.60522346537242
71-80,1168197,702350,465847,39.87743505590239,60.12256494409761
11-20,709058,423018,286040,40.34084658800832,59.65915341199168
81-90,301267,184912,116355,38.621886897668844,61.378113102331156
0-10,1490,873,617,41.40939597315436,58.59060402684564
90+,17544,10858,6686,38.109895120839035,61.890104879160965
